205016	205073	205130	205187	205244	205300	205357	205414	205471	205528	205585	205642	205699	205756	205812	205869	205926	205983	206040	206097	206154	206211	206268	206324	206381	206438	206495	206552	206609	206666	206723	206780	206836	206893	206950	207007	207064	207121	207178	207235	207292	207348	207405	207462	207519	207576	207633	207690	207747	207804	207860	207917	207974	208031	208088	208145	208202	208259	208316	208372	208429	208486	208543	208600	208657	208714	208771	208828	208884	208941	208998	209055	209112	209169	209226	209283	209340	209396	209453	209510	209567	209624	209681	209738	209795	209852	209908	209965	210022	210079	210136	210193	210250	210307	210364	210420	210477	210534	210591	210648

-------------------------------------------------------------------
8.91833E+0	8.90648E+0	8.69952E+0	8.70913E+0	8.94555E+0	8.92801E+0	9.38948E+0	9.71742E+0	1.00634E+1	9.60809E+0	9.78846E+0	9.74495E+0	9.63379E+0	9.57553E+0	9.62097E+0	9.40396E+0	9.60635E+0	9.51678E+0	9.43528E+0	9.40453E+0	9.38477E+0	9.25118E+0	9.58293E+0	9.27174E+0	9.24427E+0	9.29355E+0	9.28421E+0	9.09951E+0	9.30642E+0	9.13540E+0	9.21426E+0	9.45142E+0	9.39915E+0	9.22285E+0	9.31908E+0	9.35007E+0	9.22582E+0	9.17670E+0	9.11890E+0	9.51662E+0	9.38176E+0	9.64464E+0	9.51392E+0	9.53749E+0	9.61337E+0	9.71075E+0	9.72363E+0	8.41367E+0	7.50225E+0	7.06520E+0	6.69056E+0	6.32254E+0	6.21281E+0	6.30200E+0	6.51642E+0	7.03540E+0	7.35275E+0	7.56349E+0	7.60041E+0	7.36203E+0	6.88543E+0	6.42378E+0	4.95716E+0	2.67604E+0	-1.19416E+0	1.45323E+0	-2.86859E+0	2.08852E+0	2.12805E+0	2.21817E+0	2.26293E+0	2.35087E+0	7.95512E+0	1.02914E+1	2.29182E+0	2.46742E+0	2.37863E+0	2.29525E+0	2.34639E+0	2.29882E+0	2.91466E+0	4.57250E+0	2.47417E+0	-6.17286E+0	1.28263E+0	6.05687E+0	3.17043E+0	2.38484E+0	1.18868E+1	2.42381E+0	1.07845E+1	4.53328E+0	1.40282E+0	3.24318E+0	2.02342E+0	3.18472E+0	1.40011E+0	-1.13831E+0	2.53291E+0	1.36197E+1
4.49963E-1	8.79197E+0	-2.07612E+0	8.56358E+0	1.84492E+1	1.38030E+1	9.23458E+0	1.26685E+1	9.72725E+0	1.54127E+1	1.19346E+1	2.79139E+0	8.20061E-2	9.76244E+0	9.78076E+0	9.80273E+0	1.76627E+1	1.48248E+1	9.57804E+0	9.73833E+0	9.36921E+0	9.53060E+0	9.62639E+0	9.55278E+0	9.54801E+0	9.15150E+0	9.52230E+0	9.18932E+0	9.26041E+0	9.35043E+0	9.18479E+0	9.36016E+0	9.38148E+0	9.46936E+0	9.52333E+0	9.30732E+0	9.46122E+0	9.56580E+0	9.41075E+0	9.42184E+0	9.57453E+0	9.54102E+0	9.60124E+0	9.63145E+0	9.65560E+0	9.69947E+0	9.64558E+0	8.57036E+0	7.61317E+0	7.11138E+0	6.73748E+0	6.18399E+0	6.17277E+0	6.27761E+0	6.59331E+0	6.96646E+0	7.43365E+0	7.65641E+0	7.78565E+0	7.43657E+0	7.10981E+0	6.45394E+0	5.08554E+0	2.48497E+0	2.37692E+0	2.25890E+0	2.17341E+0	2.13981E+0	2.12106E+0	2.22950E+0	2.18145E+0	2.40142E+0	2.12783E+0	2.29228E+0	2.25442E+0	2.50377E+0	2.17115E+0	2.14107E+0	2.40280E+0	2.41819E+0	2.56158E+0	2.26877E+0	2.23931E+0	2.10886E+0	2.24579E+0	2.12511E+0	1.88968E+0	2.19995E+0	2.03427E+0	1.96033E+0	2.14066E+0	1.92906E+0	1.68329E+0	1.98850E+0	1.71886E+0	1.79710E+0	1.76756E+0	2.01721E+0	1.84498E+0	1.53245E+0
8.62551E+0	8.94722E+0	8.84621E+0	8.47189E+0	9.16600E+0	8.63010E+0	8.98229E+0	9.66492E+0	9.91884E+0	1.00401E+1	9.94008E+0	9.79375E+0	9.59075E+0	9.89368E+0	9.78586E+0	9.74338E+0	9.47864E+0	9.49629E+0	9.64182E+0	9.64034E+0	9.44753E+0	9.78358E+0	9.55410E+0	9.52120E+0	9.29721E+0	9.47546E+0	9.56094E+0	9.30335E+0	9.16154E+0	9.28179E+0	9.20431E+0	9.39742E+0	9.37604E+0	9.51697E+0	9.30376E+0	9.59862E+0	9.45476E+0	9.52231E+0	9.54987E+0	9.72021E+0	9.60867E+0	9.61786E+0	9.69175E+0	9.75249E+0	9.54109E+0	9.59248E+0	9.65691E+0	8.56860E+0	7.70502E+0	7.11722E+0	6.76801E+0	6.45634E+0	6.29479E+0	6.46204E+0	6.78620E+0	7.13053E+0	7.58842E+0	7.69649E+0	7.70776E+0	7.39150E+0	7.05571E+0	6.40784E+0	4.95305E+0	2.78732E+0	2.51698E+0	2.14954E+0	2.10228E+0	2.10825E+0	2.10094E+0	8.70209E+0	7.11222E-1	8.42997E-1	2.20092E+0	2.32798E+0	-1.56766E+0	3.86529E-1	2.24717E+0	2.50532E+0	2.42369E+0	2.07463E+0	2.20830E+0	2.43023E+0	2.46806E+0	2.31914E+0	2.07211E+0	2.22348E+0	2.08576E+0	-3.28574E+0	2.67518E+0	1.01156E+1	7.81973E+0	-1.77819E+0	-4.53313E+0	-2.50825E+0	1.91495E+0	1.82911E+0	1.32902E+1	2.03972E+1	1.44975E+1	2.09564E+0
9.78003E+0	1.76498E+0	-6.00554E+0	-6.82860E+0	8.46302E+0	9.28084E+0	9.69312E+0	1.57307E+1	1.27451E+1	9.80854E+0	5.92928E+0	1.11941E+0	9.37942E+0	9.52147E+0	1.00028E+1	1.36286E+1	1.42719E+1	8.90043E+0	9.31045E+0	9.64371E+0	1.70755E+1	1.35924E+1	9.58036E+0	9.72794E+0	9.68969E+0	9.67974E+0	9.49304E+0	9.50385E+0	9.51343E+0	9.72370E+0	9.40891E+0	9.38825E+0	9.40290E+0	9.51075E+0	9.56718E+0	9.45047E+0	9.52006E+0	9.56596E+0	9.51609E+0	9.44310E+0	9.62542E+0	9.45839E+0	9.57076E+0	9.56782E+0	9.48934E+0	9.44828E+0	9.60156E+0	8.39295E+0	7.64788E+0	7.00580E+0	6.55910E+0	6.29537E+0	6.30206E+0	6.52327E+0	6.79001E+0	7.28839E+0	7.59874E+0	7.85372E+0	7.77995E+0	7.72790E+0	7.24775E+0	6.50143E+0	5.01990E+0	2.28455E+0	2.41799E+0	2.38409E+0	2.30274E+0	2.37965E+0	2.46685E+0	2.24757E+0	2.42460E+0	2.38162E+0	2.19302E+0	2.25963E+0	2.39676E+0	2.49247E+0	2.41908E+0	2.64282E+0	2.40251E+0	2.44096E+0	2.22663E+0	2.46020E+0	2.24946E+0	2.18589E+0	2.25757E+0	2.23144E+0	2.28829E+0	2.28027E+0	2.36756E+0	1.83909E+0	2.09703E+0	2.05882E+0	2.16294E+0	2.09833E+0	1.95624E+0	2.33488E+0	2.01122E+0	1.66397E+0	1.81384E+0	1.77414E+0
8.84250E+0	8.82269E+0	8.70976E+0	8.55425E+0	9.33423E+0	9.14291E+0	9.17124E+0	9.82977E+0	1.00373E+1	9.66729E+0	9.89710E+0	9.97807E+0	1.00132E+1	9.73224E+0	9.83796E+0	9.60478E+0	9.41613E+0	9.38477E+0	9.31773E+0	9.59147E+0	9.46671E+0	9.62964E+0	9.55273E+0	9.52346E+0	9.30204E+0	9.41104E+0	9.36902E+0	9.36851E+0	9.38312E+0	9.38267E+0	9.51726E+0	9.56494E+0	9.54748E+0	9.42989E+0	9.65225E+0	9.66969E+0	9.60741E+0	9.67972E+0	9.64387E+0	9.76481E+0	9.74924E+0	9.77687E+0	9.71176E+0	9.80773E+0	9.61197E+0	9.82491E+0	9.64802E+0	8.38545E+0	7.38737E+0	6.97756E+0	6.49411E+0	6.25743E+0	6.14758E+0	6.32804E+0	6.57683E+0	7.07487E+0	7.58814E+0	7.81910E+0	7.63091E+0	7.61901E+0	7.11618E+0	6.28047E+0	4.69214E+0	2.96935E+0	2.44028E+0	2.38320E+0	2.33558E+0	2.45397E+0	2.33291E+0	2.32925E+0	2.36232E+0	2.30664E+0	2.21193E+0	2.17357E+0	2.26714E+0	2.37751E+0	2.34111E+0	2.35181E+0	2.30851E+0	2.20738E+0	2.21324E+0	2.16108E+0	2.17664E+0	1.99458E+0	2.16746E+0	2.09475E+0	1.85486E+0	1.83867E+0	1.70490E+0	1.82884E+0	1.88586E+0	1.89663E+0	2.04097E+0	2.05809E+0	1.87199E+0	2.36103E+0	1.91689E+0	1.97296E+0	1.60037E+0	1.77609E+0
8.80228E+0	9.20972E+0	8.70403E+0	8.54684E+0	8.80748E+0	8.67318E+0	9.40900E+0	1.00174E+1	1.01319E+1	1.00913E+1	9.83619E+0	9.50152E+0	9.94566E+0	9.95718E+0	9.83436E+0	9.72297E+0	9.63987E+0	9.56288E+0	9.84588E+0	9.89864E+0	1.83062E+1	9.26457E+0	3.68110E-1	9.58835E+0	9.57861E+0	9.35774E+0	9.58140E+0	1.07309E+1	1.81833E+1	9.64946E+0	9.52133E+0	9.53287E+0	9.58493E+0	2.12763E+0	3.44239E+0	9.61763E+0	9.73996E+0	9.84386E+0	9.65669E+0	9.70954E+0	1.31633E+1	1.27423E+1	9.95351E+0	1.02529E+1	4.52910E+0	1.05077E+1	9.72742E+0	8.67205E+0	1.00929E+1	6.12442E+0	6.72378E+0	6.28017E+0	5.94907E+0	5.21182E+0	6.58000E+0	7.09800E+0	7.54453E+0	7.90702E+0	7.86235E+0	1.28295E+1	1.19832E+1	6.41282E+0	4.65781E+0	1.81111E+0	2.90525E+0	2.24230E+0	2.46560E+0	2.32691E+0	2.57409E+0	2.44223E+0	2.41540E+0	2.17381E+0	2.26369E+0	2.27442E+0	2.22302E+0	2.39619E+0	2.48451E+0	2.44771E+0	2.36950E+0	2.20762E+0	2.48778E+0	2.33374E+0	2.29648E+0	2.33809E+0	2.54079E+0	1.82388E+0	2.42978E+0	2.48013E+0	2.42044E+0	2.42266E+0	2.54993E+0	2.20631E+0	1.71105E+0	2.53003E+0	1.95152E+0	2.06236E+0	1.86340E+0	1.04788E+1	-1.47236E+1	-1.50817E+0
1.95416E+1	9.02660E+0	9.09809E+0	8.93263E+0	2.03698E+1	1.61722E+1	-6.57654E+0	1.87224E+1	5.32938E+0	1.58685E+1	-6.21833E+0	7.32907E+0	-1.25212E+0	-3.28295E+0	9.84814E+0	9.75047E+0	9.66733E+0	9.84527E+0	9.81190E+0	9.62556E+0	9.87094E+0	3.80673E+0	9.49096E+0	9.30972E+0	9.52978E+0	1.37365E+1	4.90411E-1	9.44921E+0	9.48447E+0	9.11440E+0	9.28234E+0	1.24191E+1	1.68874E+1	9.41611E+0	9.46119E+0	9.61832E+0	9.62380E+0	9.57628E+0	9.69040E+0	9.47885E+0	9.58631E+0	9.56367E+0	9.63216E+0	9.75263E+0	9.68408E+0	1.00634E+1	9.71170E+0	8.24421E+0	6.71265E+0	7.18513E+0	6.44804E+0	6.22725E+0	6.22315E+0	6.38472E+0	6.67876E+0	7.26647E+0	7.65515E+0	7.81208E+0	7.68991E+0	7.55749E+0	7.15543E+0	6.35712E+0	4.27573E+0	2.86933E+0	2.52997E+0	2.45204E+0	2.44961E+0	2.49012E+0	2.42867E+0	2.34598E+0	2.30914E+0	2.25910E+0	2.44812E+0	1.03818E+1	5.36996E+0	-1.40048E+0	2.48224E+0	2.01646E+0	2.83013E-1	4.52287E+0	2.43059E+0	2.13611E+0	2.23934E+0	2.05291E+0	1.03111E+1	1.42908E+0	-6.14002E+0	-4.36186E+0	-4.70421E+0	6.32422E+0	3.16651E+0	2.13550E+0	2.17420E+0	1.97257E+0	1.46977E+0	1.64883E+0	1.81730E+0	6.99430E+0	1.94715E+0	1.94430E+1
1.09102E+1	8.94331E+0	7.88259E+0	9.77782E+0	-9.10198E+0	1.18623E+1	9.47776E+0	9.93354E+0	2.02291E+1	9.86838E+0	9.71417E+0	9.99492E+0	9.57170E+0	9.69591E+0	9.77620E+0	9.77279E+0	1.48910E+1	1.00035E+1	9.81624E+0	1.40625E+1	9.28677E+0	9.62861E+0	8.68863E+0	1.49427E+1	1.13335E+1	9.29961E+0	1.05974E+1	1.10249E+1	9.44351E+0	9.75561E+0	9.63577E+0	9.25008E+0	9.59589E+0	9.42494E+0	9.53129E+0	9.48745E+0	9.62694E+0	9.64716E+0	9.60282E+0	9.68524E+0	9.60933E+0	9.80437E+0	9.62667E+0	9.72445E+0	9.63747E+0	9.96454E+0	9.79075E+0	8.29643E+0	7.19945E+0	6.75477E+0	6.35854E+0	6.02328E+0	6.12429E+0	6.40400E+0	6.65826E+0	7.28793E+0	7.72795E+0	7.73399E+0	7.99382E+0	7.60465E+0	7.23495E+0	6.51254E+0	4.15657E+0	2.80020E+0	2.34357E+0	2.45368E+0	2.31586E+0	2.33403E+0	2.34926E+0	2.48967E+0	2.09939E+0	2.44019E+0	2.29666E+0	2.48892E+0	2.34033E+0	2.24733E+0	2.30255E+0	2.32193E+0	6.92913E+0	-3.42291E+0	7.59170E+0	2.46372E+0	2.23851E+0	2.53278E+0	2.21963E+0	2.20453E+0	9.91067E+0	-7.92981E+0	-2.48376E-1	-1.01178E+0	2.09925E+0	2.11295E+0	1.90509E+0	2.05861E+0	2.04739E+0	1.20535E+0	1.60510E+0	1.72528E+0	1.48706E+1	-4.40473E+0
4.85223E+0	9.17753E+0	6.55596E+0	9.11278E+0	4.37727E+0	1.22107E+0	7.65302E+0	-6.46016E+0	9.53628E+0	9.19079E+0	1.07796E+1	2.23969E+1	1.57349E+1	9.77970E+0	9.79715E+0	-1.18048E+0	9.46791E+0	1.03036E+1	1.15491E+1	1.00529E+1	3.12570E+0	9.34900E+0	9.08991E+0	1.46485E+1	9.18312E+0	9.62037E+0	1.03583E+1	9.51937E+0	1.28772E+1	9.94958E+0	1.18005E+1	1.18569E+1	9.54948E+0	9.52173E+0	9.44661E+0	9.64313E+0	9.41714E+0	9.52610E+0	9.56861E+0	9.54799E+0	9.53107E+0	9.68856E+0	9.63356E+0	9.67576E+0	9.72843E+0	9.83474E+0	9.72247E+0	7.87795E+0	7.07040E+0	6.58673E+0	6.25466E+0	6.06752E+0	6.19673E+0	6.63463E+0	6.96110E+0	1.27500E+1	8.23120E+0	9.32620E+0	8.04106E+0	7.86477E+0	7.26936E+0	6.60443E+0	4.25587E+0	5.16934E+0	1.01463E+0	2.71407E+0	2.66915E+0	9.23499E+0	3.08582E+0	2.37911E+0	2.51582E+0	2.35265E+0	2.46595E+0	2.46632E+0	-4.54274E+0	-2.68811E+0	1.50239E+0	1.63939E+1	1.89922E+0	2.14070E+1	-3.04744E-1	-1.03684E+1	8.92716E+0	2.06370E+0	9.81398E+0	2.42788E+0	-1.84112E+1	5.86239E+0	-3.89354E+0	2.49121E+1	1.95052E+0	-1.78122E+0	3.50901E+0	2.01687E+0	1.49990E+1	8.50583E+0	1.93277E+0	6.81674E+0	6.76217E-1	4.53479E+0
1.35324E+1	1.64136E+1	9.59167E+0	9.84784E+0	8.13824E+0	2.04084E+1	1.86002E+1	1.07862E+1	2.43115E+1	1.04909E+1	9.88590E+0	9.74097E+0	9.68301E+0	1.01121E+1	9.79658E+0	1.00758E+1	9.93816E+0	9.62457E+0	9.80343E+0	9.75330E+0	9.66030E+0	9.55750E+0	9.51543E+0	9.65133E+0	9.33976E+0	9.78333E+0	9.57420E+0	9.43808E+0	9.35460E+0	9.57079E+0	9.28561E+0	9.67092E+0	1.39502E+1	7.84054E+0	9.11240E+0	9.60174E+0	9.49376E+0	9.34765E+0	9.65843E+0	9.49820E+0	9.62515E+0	-7.98729E+0	9.66689E+0	9.68026E+0	9.58949E+0	9.83475E+0	9.41663E+0	7.65469E+0	8.19516E+0	6.25326E+0	5.99344E+0	5.97175E+0	4.56460E+0	3.49088E+0	7.04495E+0	7.82009E+0	-2.35259E+0	9.06134E+0	5.27546E+0	1.42306E+1	7.45218E+0	6.67773E+0	6.28411E+0	6.07460E+0	5.87494E+0	4.39384E+0	-1.04787E+1	2.45202E+0	9.36553E+0	5.32409E-1	9.32583E+0	4.57599E+0	2.59659E+0	7.67844E+0	2.47683E+0	6.90004E+0	-8.80575E-1	9.31331E+0	9.40124E+0	2.21785E+0	1.16324E+1	1.80052E+0	9.59830E+0	1.92721E+0	6.01745E+0	-1.73701E+1	2.20558E+0	4.08181E+0	4.38907E+0	2.42881E+0	1.98636E+0	2.10520E+0	1.89644E+0	2.01126E+0	1.91531E+0	2.02171E+0	1.90625E+0	2.19214E+0	1.41625E+0	1.99925E+0
1.16892E+1	1.10834E+1	1.05235E+1	9.89708E+0	9.87951E+0	1.02748E+1	9.65147E+0	9.63945E+0	9.81097E+0	9.60321E+0	9.69865E+0	9.79955E+0	9.80993E+0	9.61782E+0	9.86694E+0	9.86846E+0	9.58149E+0	9.75549E+0	9.75682E+0	9.83626E+0	9.76868E+0	9.79048E+0	9.66685E+0	9.44736E+0	9.52274E+0	9.68263E+0	9.47592E+0	9.74636E+0	9.34849E+0	9.44191E+0	9.57115E+0	9.55954E+0	9.42436E+0	9.65356E+0	9.23683E+0	9.75138E+0	9.41204E+0	9.51158E+0	9.49148E+0	9.64411E+0	9.65095E+0	9.63685E+0	9.71801E+0	9.71336E+0	9.70590E+0	9.73810E+0	8.34350E+0	7.23601E+0	6.72590E+0	6.28480E+0	5.90138E+0	5.94627E+0	6.32468E+0	6.63717E+0	7.11386E+0	7.58373E+0	8.02972E+0	8.32935E+0	8.24582E+0	8.15158E+0	7.64874E+0	7.00905E+0	4.90235E+0	3.12159E+0	2.62468E+0	2.84775E+0	2.48240E+0	2.45112E+0	2.58097E+0	2.48119E+0	2.51225E+0	2.62083E+0	2.66023E+0	2.61660E+0	2.51616E+0	2.60684E+0	2.57687E+0	2.51070E+0	2.26673E+0	2.45562E+0	2.17202E+0	2.35655E+0	2.36929E+0	2.23524E+0	2.38210E+0	2.29368E+0	2.15153E+0	2.45371E+0	2.01388E+0	2.24386E+0	2.31583E+0	1.91038E+0	1.75098E+0	1.71474E+0	2.00355E+0	2.04731E+0	1.77029E+0	1.85117E+0	2.10514E+0	1.87523E+0
1.11246E+1	1.16184E+1	1.13742E+1	1.07654E+1	1.06542E+1	1.05079E+1	1.03657E+1	1.02169E+1	1.00863E+1	1.01583E+1	1.00085E+1	1.01165E+1	9.64590E+0	9.98022E+0	9.87201E+0	9.68369E+0	9.82982E+0	9.89987E+0	9.98305E+0	9.79005E+0	9.63999E+0	9.59904E+0	9.46183E+0	9.73712E+0	9.51687E+0	9.43766E+0	9.38859E+0	9.22268E+0	9.60184E+0	9.44110E+0	9.41981E+0	9.48837E+0	9.40947E+0	9.49706E+0	9.36732E+0	9.45402E+0	9.61170E+0	9.59301E+0	9.51293E+0	9.54989E+0	9.47875E+0	9.23792E+0	8.92814E+0	8.61881E+0	8.26281E+0	7.70346E+0	7.03150E+0	6.76750E+0	6.23866E+0	5.85306E+0	5.68406E+0	5.90192E+0	6.20084E+0	6.78737E+0	7.14595E+0	7.63551E+0	8.05782E+0	8.12602E+0	8.48239E+0	8.05361E+0	7.71277E+0	7.18780E+0	6.47944E+0	4.25862E+0	3.47867E+0	3.44037E+0	3.12440E+0	3.17940E+0	2.97524E+0	2.72426E+0	2.80754E+0	2.98569E+0	2.58805E+0	2.60955E+0	2.73706E+0	2.84303E+0	2.61808E+0	2.68357E+0	2.50505E+0	2.57836E+0	2.69748E+0	2.45992E+0	2.22633E+0	2.35967E+0	2.54868E+0	2.36541E+0	2.57776E+0	2.43273E+0	2.70858E+0	2.52427E+0	2.35673E+0	2.42877E+0	2.35560E+0	1.89316E+0	2.13756E+0	1.81889E+0	2.01981E+0	2.24276E+0	1.68213E+0	1.82294E+0
1.19636E+1	1.14967E+1	1.15421E+1	1.10334E+1	1.06309E+1	1.04040E+1	1.02142E+1	1.00031E+1	9.94388E+0	9.83873E+0	9.83862E+0	9.74163E+0	9.76251E+0	9.79776E+0	9.71753E+0	9.56800E+0	9.46025E+0	9.40774E+0	9.25334E+0	9.22292E+0	9.26410E+0	9.48154E+0	9.37178E+0	9.35146E+0	9.50681E+0	9.44544E+0	9.42263E+0	9.25712E+0	9.17766E+0	9.25815E+0	9.16297E+0	9.37746E+0	9.31476E+0	9.17121E+0	9.35323E+0	9.34242E+0	9.38769E+0	9.44752E+0	9.24700E+0	9.09458E+0	8.73908E+0	8.46342E+0	7.98957E+0	7.83854E+0	7.44182E+0	7.17584E+0	6.83882E+0	6.43567E+0	5.86799E+0	5.88021E+0	5.82121E+0	5.88818E+0	6.35640E+0	6.70273E+0	7.06425E+0	7.65249E+0	8.07540E+0	8.31888E+0	8.30404E+0	8.20142E+0	7.90301E+0	7.51318E+0	6.95927E+0	6.34826E+0	5.89320E+0	5.09942E+0	4.36055E+0	3.86925E+0	3.61464E+0	3.15603E+0	3.06737E+0	3.02671E+0	2.94008E+0	2.70221E+0	2.87525E+0	3.12707E+0	2.78300E+0	2.92577E+0	3.04119E+0	2.78798E+0	2.93143E+0	2.46240E+0	2.75991E+0	2.68098E+0	2.50135E+0	2.63815E+0	2.53376E+0	2.70337E+0	2.32461E+0	2.32957E+0	2.39168E+0	2.28780E+0	2.39992E+0	2.17900E+0	2.51069E+0	2.30284E+0	1.75161E+0	1.83287E+0	2.16555E+0	1.79388E+0
1.15455E+1	1.11738E+1	1.11660E+1	1.04828E+1	1.03216E+1	9.96551E+0	9.86746E+0	9.60391E+0	9.35482E+0	9.56719E+0	9.43450E+0	9.77002E+0	9.52196E+0	9.60341E+0	9.61053E+0	9.31209E+0	9.43151E+0	9.35629E+0	9.31157E+0	9.40910E+0	9.65925E+0	9.46436E+0	9.48803E+0	9.65125E+0	9.49230E+0	9.11778E+0	9.37080E+0	9.12883E+0	9.14124E+0	9.13049E+0	9.05201E+0	9.07894E+0	9.18958E+0	9.03568E+0	9.22790E+0	9.04623E+0	8.96308E+0	8.86043E+0	8.90648E+0	8.76887E+0	8.56023E+0	8.29079E+0	8.12371E+0	7.72309E+0	7.20173E+0	6.87376E+0	6.73246E+0	6.45412E+0	6.28816E+0	5.92591E+0	6.18328E+0	6.34789E+0	6.59991E+0	6.79119E+0	7.24521E+0	7.68214E+0	7.94742E+0	8.14689E+0	8.02266E+0	7.94405E+0	7.72869E+0	7.39597E+0	6.94681E+0	6.49488E+0	6.09500E+0	5.41021E+0	4.82519E+0	4.35836E+0	4.00996E+0	4.05446E+0	3.82203E+0	3.50629E+0	3.57276E+0	3.72944E+0	3.62211E+0	3.55853E+0	3.52002E+0	3.58943E+0	3.21290E+0	3.24251E+0	2.92688E+0	3.31102E+0	3.20154E+0	3.03857E+0	2.69303E+0	2.91865E+0	2.98545E+0	2.72726E+0	2.87995E+0	2.71589E+0	2.86679E+0	2.60708E+0	2.64481E+0	2.72402E+0	2.53538E+0	-1.02169E+1	1.00617E+1	7.73685E+0	2.57992E+0	2.28203E+0
1.10901E+1	1.09805E+1	2.21655E+1	-2.01743E+0	1.77570E+1	1.02056E+1	9.93881E+0	9.81437E+0	9.73203E+0	9.53747E+0	9.53269E+0	9.45761E+0	9.28849E+0	-1.60321E-1	1.01777E+1	1.32561E+0	-5.17957E+0	1.39582E+1	9.12416E+0	9.74310E+0	1.08515E+1	-1.55030E+0	3.38459E-1	8.93902E+0	8.49823E+0	8.76733E+0	3.86090E+0	1.23163E+0	8.02830E+0	8.87180E+0	8.94470E+0	8.93498E+0	8.90151E+0	8.93963E+0	8.87290E+0	7.48720E+0	8.01513E+0	8.68769E+0	8.51137E+0	8.30452E+0	8.20866E+0	6.51003E+0	1.10975E+1	1.09893E+0	6.98702E+0	6.73212E+0	3.08618E+0	8.07435E+0	6.36825E+0	6.33464E+0	6.42171E+0	6.30633E+0	6.47801E+0	6.56598E+0	6.62705E+0	7.10704E+0	7.42524E+0	7.52657E+0	7.86281E+0	7.51306E+0	7.30470E+0	7.01959E+0	6.80527E+0	6.40195E+0	6.19674E+0	5.43717E+0	4.92588E+0	2.31441E+0	6.70143E+0	-3.89851E-1	4.05113E+0	3.87754E+0	1.25084E+1	1.24776E+1	3.59113E+0	3.58352E+0	3.68138E+0	3.38853E+0	3.29091E+0	3.39465E+0	3.36081E+0	3.41182E+0	3.10011E+0	-3.53936E+0	6.56015E+0	1.32430E+1	-1.53325E+1	2.54685E+0	1.80501E+1	3.22699E+0	2.86743E+0	-1.08288E+1	-2.99056E+0	2.80557E+0	2.57056E+0	2.72962E+0	5.47975E+0	-2.86264E+0	2.08675E+0	3.67029E+0
8.15963E-1	2.88027E+1	1.05562E+1	1.43051E+1	2.45951E+1	9.79057E+0	-3.61065E+0	1.02575E+1	9.19711E+0	9.54701E+0	9.73557E+0	9.88203E+0	-4.13149E-1	9.32639E+0	-8.17207E+0	-2.56334E-1	9.93838E+0	9.03543E+0	9.01117E+0	3.82724E+0	9.51233E+0	8.85441E+0	8.69533E+0	8.62502E+0	8.44876E+0	8.68975E+0	8.74302E+0	8.65148E+0	8.38967E+0	8.48619E+0	8.52494E+0	8.52126E+0	8.36402E+0	8.28425E+0	8.27795E+0	8.07289E+0	8.02165E+0	7.54873E+0	7.67786E+0	7.95438E+0	7.64284E+0	7.48991E+0	7.05389E+0	7.06539E+0	6.92876E+0	6.84923E+0	6.45469E+0	6.39314E+0	6.29953E+0	6.31559E+0	1.50011E+1	4.79467E+0	5.67953E+0	6.60953E+0	9.60330E+0	6.73319E+0	7.05825E+0	7.03814E+0	7.13660E+0	6.98916E+0	6.81275E+0	-3.89019E+0	1.06052E+0	6.53605E+0	-2.05086E+0	5.53130E+0	3.19181E+0	8.97406E+0	-1.45589E+0	-6.55266E+0	4.29329E+0	1.00265E+1	3.30705E+0	1.25697E+1	1.05180E+1	8.94511E-1	-5.01650E+0	3.18647E+0	-1.91314E+0	4.33256E+0	3.58367E+0	9.79752E+0	1.18422E+1	4.68818E-1	3.62253E+0	-6.23943E+0	-7.62309E-1	1.10760E+1	1.55004E+1	3.19347E+0	1.50319E+0	3.73870E+0	3.07034E+0	-1.05233E+1	-1.18992E+1	3.16203E+0	4.94143E+0	9.24833E-1	2.11586E+0	2.44156E+0
1.06762E+1	1.04723E+1	1.00972E+1	1.04101E+1	1.00278E+1	9.85422E+0	9.78781E+0	9.73972E+0	9.71948E+0	9.79739E+0	9.64811E+0	9.53102E+0	9.43320E+0	9.29891E+0	8.71825E+0	8.58655E+0	8.64415E+0	9.18838E+0	8.75601E+0	9.06512E+0	9.11878E+0	9.04184E+0	8.60794E+0	8.52525E+0	8.80992E+0	8.58241E+0	8.39852E+0	8.35410E+0	8.17317E+0	8.08201E+0	8.21388E+0	8.25156E+0	8.25442E+0	7.90246E+0	8.26152E+0	7.98211E+0	7.46321E+0	7.75530E+0	7.44629E+0	7.45378E+0	7.48712E+0	7.06290E+0	7.14076E+0	6.87184E+0	6.73349E+0	6.52175E+0	6.35998E+0	6.39601E+0	6.43349E+0	6.33187E+0	6.66633E+0	6.36042E+0	6.66443E+0	6.80963E+0	6.34744E+0	6.27258E+0	6.52425E+0	6.63298E+0	6.41679E+0	6.63663E+0	6.35539E+0	6.18911E+0	6.05117E+0	5.63329E+0	5.32078E+0	5.40413E+0	4.98911E+0	4.69952E+0	4.25826E+0	4.09254E+0	3.88766E+0	3.60965E+0	3.76515E+0	3.74293E+0	4.14386E+0	3.80540E+0	3.93990E+0	3.54900E+0	3.13854E+0	3.39848E+0	3.65367E+0	3.30469E+0	3.33551E+0	3.28598E+0	3.25677E+0	3.28723E+0	2.90231E+0	3.09219E+0	3.13018E+0	2.92243E+0	3.23871E+0	3.14930E+0	2.57503E+0	3.00981E+0	2.89709E+0	2.72106E+0	2.76607E+0	2.50484E+0	2.33944E+0	2.34460E+0
